variable_id,scope,locked_value,control_candidate_may_differ,replicate_may_differ,notes
task_type,all_tasks,text2video,false,false,design_target_only
model_version,all_tasks,seedance2.0_vip,false,false,later_runtime_help_check_required
duration,all_tasks,5_seconds,false,false,fixed
ratio,all_tasks,16:9,false,false,fixed
video_resolution,all_tasks,720p,false,false,fixed
reference_strategy,all_tasks,text_only_no_active_generation_reference,false,false,fixed
active_generation_reference_count,all_tasks,0,false,false,fixed
prompt_language,all_tasks,English,false,false,fixed
performer_count,all_tasks,2_adult_professional_stunt_performers,false,false,fixed
attacker_identity,all_tasks,dark_charcoal_padded_training_clothes,false,false,fixed
receiver_identity,all_tasks,light_gray_padded_training_clothes,false,false,fixed
scene,all_tasks,neutral_indoor_rehearsal_stage_matte_gray_floor_neutral_wall,false,false,fixed
lighting,all_tasks,soft_neutral_studio_lighting,false,false,fixed
camera,all_tasks,locked_medium_wide_full_body_three_quarter_side,false,false,fixed
safety,all_tasks,controlled_non_injury_rehearsal,false,false,fixed
shared_negative_block,all_tasks,SHARED_COMPACT_NEGATIVE_BLOCK,false,false,byte_identical
action_family,within_family,push_reaction_or_brief_impact_recoil,false,false,fixed_inside_each_family
action_identity,within_family,semantic_equivalent_high_level_action,false,false,matched_baseline
treatment,within_family,control_or_candidate,true,false,only_systematic_prompt_difference
replicate_id,within_cell,R01_or_R02,false,true,metadata_only_not_in_prompt
prompt_blueprint_bytes,within_cell,byte_identical_R01_R02,false,false,no_task_or_replicate_id_in_prompt
provider_seed,all_tasks,not_defined,false,false,no_seed_claim
automatic_expansion,phase1,false,false,false,no_ninth_task
tie_breaker,phase1,not_created_or_authorized,false,false,separate_future_decision_required
